freq,int_doh,int_d2o,cluster
6604.97500000,0.00007103,0.00003741,10
6610.00000000,0.00065471,0.00032674,2
6614.99166667,0.00000000,0.00001457,1
6616.21666667,0.00002280,0.00001555,3
6620.00000000,0.00214014,0.00161849,3
6620.61666667,0.00006516,0.00005674,5
6620.62500000,0.00006570,0.00005644,5
6621.10000000,0.00000000,0.00001422,1
6621.30000000,0.00000000,0.00001409,1
6624.20000000,0.00000000,0.00001241,1
6625.00000000,0.00041710,0.00025137,3
6625.54166667,0.00003481,0.00000000,0
6630.00000000,0.00049594,0.00027224,3
6630.75833333,0.00002905,0.00015184,9
6630.83333333,0.00003324,0.00007415,8
6631.75833333,0.00002160,0.00005837,8
6633.03333333,0.00000000,0.00001809,1
6637.45833333,0.00002239,0.00007684,8
6638.46666667,0.00003448,0.00010434,8
6638.47500000,0.00003436,0.00010503,8
6640.00000000,0.00192269,0.00153859,5
6640.62500000,0.00036704,0.00030557,5
6645.00000000,0.00003565,0.00004872,6
6645.19166667,0.00000000,0.00001195,1
6650.00000000,0.00065118,0.00113151,7
6650.39166667,0.00000000,0.00001528,1
6655.30000000,0.00002103,0.00000000,0
6655.33333333,0.00000000,0.00001273,1
6656.25000000,0.00000000,0.00002601,1
6656.58333333,0.00000000,0.00004308,1
6656.91666667,0.00015457,0.00000000,0
6656.94166667,0.00016870,0.00000000,0
6660.00000000,0.00264962,0.00183822,3
6664.03333333,0.00009457,0.00000000,0
6665.00833333,0.00018155,0.00002788,0
6668.35000000,0.00003235,0.00002213,3
6668.96666667,0.00003556,0.00003230,5
6668.97500000,0.00003551,0.00003259,5
6670.00000000,0.00078905,0.00021953,4
6672.13333333,0.00002693,0.00000000,0
6672.25000000,0.00004281,0.00000000,0
6673.85833333,0.00002246,0.00000000,0
6674.17500000,0.00005625,0.00000000,0
6675.00000000,0.00140886,0.00116698,5
6676.85000000,0.00000000,0.00012992,1
6679.66666667,0.00004584,0.00003342,3
6679.68333333,0.00004970,0.00003071,3
6680.00000000,0.00336636,0.00241442,3
6681.25833333,0.00000000,0.00001340,1
6681.88333333,0.00006569,0.00000000,0
6684.44166667,0.00000000,0.00002574,1
6684.99166667,0.00002828,0.00003758,6
6685.60833333,0.00000000,0.00003198,1
6685.83333333,0.00000000,0.00001960,1
6689.45000000,0.00012853,0.00011289,5
6690.00000000,0.00064156,0.00052475,5
6690.86666667,0.00000000,0.00001654,1
6697.74166667,0.00001991,0.00000000,0
6699.21666667,0.00003252,0.00002045,3
6699.23333333,0.00003135,0.00002184,3
6700.00000000,0.00317631,0.00279282,5
6704.61666667,0.00008165,0.00000000,0
6705.00000000,0.00012784,0.00004501,2
6705.22500000,0.00000000,0.00003542,1
6705.45833333,0.00000000,0.00001522,1
6705.55000000,0.00000000,0.00003925,1
6706.39166667,0.00000000,0.00002300,1
6706.52500000,0.00000000,0.00001262,1
6707.25833333,0.00000000,0.00001574,1
6707.40000000,0.00000000,0.00004543,1
6708.66666667,0.00000000,0.00001257,1
6710.00000000,0.00089467,0.00049324,3
6710.82500000,0.00000000,0.00003182,1
6711.39166667,0.00000000,0.00006661,1
6713.68333333,0.00000000,0.00001477,1
6713.84166667,0.00002624,0.00001946,3
6715.00000000,0.00003948,0.00000000,0
6716.16666667,0.00004617,0.00001445,4
6716.17500000,0.00004787,0.00001439,4
6716.25833333,0.00006826,0.00001543,4
6716.27500000,0.00006296,0.00001710,4
6718.75000000,0.00005245,0.00003776,3
6720.00000000,0.00207963,0.00137185,3
6725.00000000,0.00015620,0.00015857,5
6725.84166667,0.00006687,0.00002974,2
6726.10833333,0.00000000,0.00002564,1
6726.16666667,0.00000000,0.00001384,1
6728.46666667,0.00000000,0.00001354,1
6730.00000000,0.00043871,0.00015880,2
6730.42500000,0.00000000,0.00002101,1
6731.95833333,0.00006422,0.00002242,2
6732.04166667,0.00009424,0.00002783,4
6735.00833333,0.00007291,0.00001874,4
6735.86666667,0.00002324,0.00002484,6
6738.01666667,0.00002821,0.00000000,0
6738.27500000,0.00015642,0.00014074,5
6738.74166667,0.00006992,0.00006790,5
6739.47500000,0.00008668,0.00008744,5
6740.00000000,0.00211512,0.00144056,3
6740.62500000,0.00004184,0.00000000,0
6743.16666667,0.00004845,0.00000000,0
6743.66666667,0.00026141,0.00009606,2
6743.67500000,0.00027646,0.00009595,2
6743.73333333,0.00032858,0.00008264,4
6745.02500000,0.00005775,0.00000000,0
6746.49166667,0.00000000,0.00001722,1
6746.53333333,0.00000000,0.00002722,1
6746.85000000,0.00002556,0.00000000,0
6747.95833333,0.00010308,0.00001947,4
6748.03333333,0.00004793,0.00003423,3
6748.87500000,0.00025379,0.00027568,6
6749.72500000,0.00000000,0.00001663,1
6749.99166667,0.00120953,0.00097769,5
6750.15833333,0.00002080,0.00002186,5
6750.17500000,0.00002133,0.00002047,5
