freq,int_h2o,int_doh,cluster
6777.18333333,0.00000000,0.00002708,1
6777.34166667,0.00000000,0.00002052,1
6780.00000000,0.00266405,0.00218182,4
6781.14166667,0.00003362,0.00000000,0
6783.05833333,0.00000000,0.00004422,1
6783.21666667,0.00016504,0.00003945,2
6783.25833333,0.00014970,0.00004851,2
6785.00000000,0.00000000,0.00004350,1
6786.17500000,0.00000000,0.00008984,1
6787.10833333,0.00017588,0.00017737,5
6789.53333333,0.00003782,0.00000000,0
6790.00000000,0.00025292,0.00022526,5
6790.23333333,0.00000000,0.00002929,1
6791.08333333,0.00000000,0.00002997,1
6791.26666667,0.00000000,0.00004418,1
6792.07500000,0.00005570,0.00000000,0
6793.34166667,0.00010839,0.00000000,0
6793.48333333,0.00000000,0.00003337,1
6794.59166667,0.00003351,0.00008627,8
6796.87500000,0.00005989,0.00007087,5
6797.23333333,0.00004040,0.00000000,0
6797.41666667,0.00003662,0.00000000,0
6798.08333333,0.00019326,0.00007084,2
6800.00000000,0.00134501,0.00150063,5
6804.63333333,0.00004617,0.00005036,5
6805.00000000,0.00000000,0.00008579,1
6809.11666667,0.00006993,0.00000000,0
6809.75000000,0.00018188,0.00006418,2
6810.00000000,0.00017479,0.00008986,3
6810.65833333,0.00004083,0.00000000,0
6811.90833333,0.00003516,0.00000000,0
6815.00000000,0.00000000,0.00002878,1
6815.30833333,0.00000000,0.00005225,1
6818.10000000,0.00006750,0.00002420,2
6818.79166667,0.00000000,0.00002107,1
6819.39166667,0.00004361,0.00000000,0
6820.00000000,0.00115001,0.00063596,3
6820.75833333,0.00010696,0.00000000,0
6823.25833333,0.00004617,0.00000000,0
6823.63333333,0.00067453,0.00015330,7
6824.25833333,0.00012317,0.00000000,0
6825.00000000,0.00032901,0.00015396,3
6826.17500000,0.00000000,0.00002927,1
6830.00000000,0.00020203,0.00011426,3
6831.60000000,0.00000000,0.00002863,1
6835.01666667,0.00000000,0.00004211,1
6835.71666667,0.00007856,0.00003895,3
6835.72500000,0.00007804,0.00004046,3
6835.93333333,0.00191050,0.00153552,4
6836.93333333,0.00000000,0.00002649,1
6840.00000000,0.00056289,0.00050475,5
6841.26666667,0.00030136,0.00002571,0
6842.91666667,0.00020702,0.00002376,0
6845.00000000,0.00000000,0.00007310,1
6845.03333333,0.00000000,0.00006095,1
6846.36666667,0.00009939,0.00000000,0
6846.61666667,0.00000000,0.00002835,1
6848.87500000,0.00000000,0.00002949,1
6850.00000000,0.00033623,0.00051903,6
6850.75833333,0.00007427,0.00000000,0
6851.00000000,0.00003584,0.00000000,0
6851.65000000,0.00004123,0.00000000,0
6852.86666667,0.00007601,0.00000000,0
6853.20000000,0.00004949,0.00009145,8
6854.41666667,0.00003996,0.00000000,0
6854.94166667,0.00062235,0.00034273,3
6855.18333333,0.00000000,0.00002953,1
6857.53333333,0.00006878,0.00000000,0
6857.61666667,0.00004265,0.00000000,0
6857.65000000,0.00004546,0.00000000,0
6858.57500000,0.00013892,0.00008668,4
6858.64166667,0.00007885,0.00003248,3
6860.00000000,0.00078997,0.00051134,4
6860.43333333,0.00453176,0.00613718,6
6862.34166667,0.00072039,0.00010080,0
6863.75000000,0.00004201,0.00005198,6
6865.00000000,0.00013324,0.00009745,4
6868.86666667,0.00003337,0.00000000,0
6870.00000000,0.00020642,0.00027340,6
6870.66666667,0.00007473,0.00003615,3
6870.67500000,0.00007483,0.00003511,3
6872.89166667,0.00004305,0.00000000,0
6875.00000000,0.00103922,0.00135673,6
6879.77500000,0.00003352,0.00002118,4
6880.00000000,0.00141592,0.00089667,4
6884.76666667,0.00010209,0.00010020,5
6884.77500000,0.00010471,0.00009992,5
6884.98333333,0.00003287,0.00000000,0
6890.00000000,0.00025454,0.00030620,5
6893.01666667,0.00004353,0.00002062,3
6893.03333333,0.00004017,0.00002129,3
6894.71666667,0.00000000,0.00002300,1
6895.90000000,0.00000000,0.00002324,1
6898.75000000,0.00008001,0.00000000,0
6899.03333333,0.00013433,0.00006692,3
6899.73333333,0.00006174,0.00004542,4
6899.81666667,0.00024829,0.00009007,2
6899.86666667,0.00018748,0.00014930,4
6900.00000000,0.00172158,0.00082869,3
6901.72500000,0.00005336,0.00000000,0
6906.93333333,0.00000000,0.00002740,1
6907.20833333,0.00004611,0.00002986,4
6908.86666667,0.00005185,0.00000000,0
6909.25000000,0.00003512,0.00000000,0
6909.78333333,0.00027066,0.00011040,3
6910.00000000,0.00016432,0.00026757,6
6910.29166667,0.00014552,0.00008769,3
6911.95000000,0.00000000,0.00002926,1
6913.09166667,0.00008424,0.00000000,0
6916.75833333,0.00000000,0.00002900,1
6919.11666667,0.00009312,0.00006295,4
6919.12500000,0.00009203,0.00006489,4
6919.24166667,0.00005958,0.00002121,2
6919.45833333,0.00006707,0.00000000,0
6920.00000000,0.00230990,0.00156186,4
6923.37500000,0.00005239,0.00000000,0
6923.83333333,0.00003997,0.00000000,0
6925.00000000,0.00017474,0.00018944,5
6925.93333333,0.00005297,0.00000000,0
6930.00000000,0.00005573,0.00010947,8
6930.74166667,0.00003501,0.00000000,0
6932.36666667,0.00478556,0.00932515,8
6933.29166667,0.00014066,0.00000000,0
6933.60000000,0.00013107,0.00014561,5
6935.00000000,0.00000000,0.00002998,1
6935.20833333,0.00006096,0.00000000,0
6935.69166667,0.00023320,0.00000000,0
6938.32500000,0.00007688,0.00003713,3
6938.35000000,0.00006769,0.00003216,3
6939.69166667,0.00000000,0.00002701,1
6940.00000000,0.00154788,0.00081346,3
6943.25833333,0.00020152,0.00002611,0
6943.49166667,0.00008815,0.00000000,0
6944.24166667,0.00006791,0.00000000,0
6944.32500000,0.00000000,0.00003618,1
6945.02500000,0.00004476,0.00003360,4
6946.17500000,0.00090985,0.00011401,0
6947.35833333,0.00034469,0.00004676,0
6948.05833333,0.00003316,0.00000000,0
6948.15000000,0.00000000,0.00002249,1
6948.46666667,0.00000000,0.00002954,1
6948.70000000,0.00014832,0.00041830,9
6948.72500000,0.00013244,0.00044646,9
6949.21666667,0.00012392,0.00020381,6
6949.25000000,0.00009579,0.00025929,9
6949.71666667,0.00003539,0.00000000,0
6949.80000000,0.00000000,0.00002632,1
6950.00000000,0.00407354,0.00256825,4
6952.86666667,0.00000000,0.00010709,1
6953.12500000,0.00009846,0.00005968,3
6954.16666667,0.00003459,0.00004226,6
6954.17500000,0.00003400,0.00004270,6
6954.56666667,0.00003496,0.00000000,0
6954.98333333,0.00000000,0.00002741,1
