freq,int_h2o,int_doh,int_d2o
8210.0000,0.0002,0.0001,0.0001
8211.4417,0.0003,0.0002,0.0002
8219.4833,0.0090,0.0022,0.0021
8220.0000,0.0009,0.0007,0.0007
8225.0000,0.0002,0.0002,0.0002
8230.0000,0.0002,0.0001,0.0002
8233.0500,0.0002,0.0000,0.0000
8238.8000,0.0004,0.0000,0.0000
8240.0000,0.0009,0.0006,0.0006
8244.5500,0.0003,0.0001,0.0000
8245.9583,0.0004,0.0001,0.0001
8246.5417,0.0004,0.0002,0.0001
8250.0000,0.0008,0.0004,0.0007
8260.0000,0.0009,0.0006,0.0007
8275.0000,0.0003,0.0001,0.0001
8280.0000,0.0009,0.0007,0.0008
8285.0083,0.0001,0.0001,0.0001
8290.0000,0.0002,0.0001,0.0001
8297.9667,0.0001,0.0000,0.0000
8297.9750,0.0001,0.0000,0.0000
8300.0000,0.0020,0.0009,0.0020
8305.0000,0.0001,0.0001,0.0001
8310.7083,0.0006,0.0001,0.0001
8313.0917,0.0001,0.0000,0.0000
8313.1250,0.0001,0.0000,0.0000
8320.0000,0.0014,0.0010,0.0009
8325.0000,0.0003,0.0002,0.0001
8327.4583,0.0003,0.0001,0.0000
8327.5833,0.0002,0.0001,0.0000
8330.0000,0.0002,0.0002,0.0002
8340.0000,0.0014,0.0011,0.0010
8350.0000,0.0017,0.0011,0.0006
8355.9917,0.0002,0.0001,0.0000
8359.3833,0.0001,0.0001,0.0001
8360.0000,0.0013,0.0012,0.0010
8375.0000,0.0002,0.0001,0.0001
8400.0000,0.0020,0.0006,0.0015
8420.0000,0.0011,0.0009,0.0008
8429.5167,0.0002,0.0001,0.0001
8430.0000,0.0002,0.0002,0.0001
8430.1750,0.0001,0.0000,0.0000
8432.3917,0.0005,0.0002,0.0002
8433.2833,0.0002,0.0001,0.0001
8433.5250,0.0001,0.0000,0.0000
8439.2250,0.0035,0.0015,0.0014
8439.5167,0.0002,0.0000,0.0001
8439.5250,0.0002,0.0000,0.0001
8445.0000,0.0001,0.0001,0.0000
8450.0000,0.0014,0.0012,0.0005
8461.6083,0.0006,0.0001,0.0001
8465.0083,0.0001,0.0000,0.0000
8479.3667,0.0231,0.0046,0.0064
8479.3750,0.0231,0.0046,0.0064
8484.9833,0.0000,0.0000,0.0000
8496.1167,0.0000,0.0000,0.0000
8515.6250,0.0001,0.0001,0.0001
8523.2000,0.0001,0.0000,0.0000
8540.4167,0.0003,0.0000,0.0000
8568.0583,0.0001,0.0000,0.0000
8568.8583,0.0002,0.0001,0.0000
8575.0000,0.0002,0.0001,0.0001
8604.1083,0.0160,0.0065,0.0044
8611.0917,0.0000,0.0000,0.0000
8612.0417,0.0000,0.0000,0.0000
8624.9917,0.0004,0.0003,0.0004
8633.4583,0.0017,0.0003,0.0003
8635.3167,0.0013,0.0004,0.0003
8642.5083,0.0001,0.0000,0.0000
8648.7083,0.0003,0.0003,0.0001
8651.7250,0.0002,0.0000,0.0000
8651.7417,0.0003,0.0000,0.0000
8652.6667,0.0022,0.0012,0.0009
8652.6750,0.0022,0.0012,0.0009
8653.4583,0.0002,0.0001,0.0001
8654.6250,0.0000,0.0000,0.0000
8656.1167,0.0001,0.0000,0.0000
8657.0167,0.0002,0.0001,0.0001
8657.6083,0.0000,0.0000,0.0000
8657.7667,0.0002,0.0000,0.0000
8661.6083,0.0002,0.0002,0.0001
8662.3583,0.0003,0.0001,0.0000
8662.5000,0.0002,0.0001,0.0000
8662.5833,0.0001,0.0001,0.0001
8665.0000,0.0001,0.0001,0.0000
8665.3583,0.0001,0.0001,0.0001
8666.2500,0.0001,0.0001,0.0000
8668.0583,0.0001,0.0000,0.0000
8669.1500,0.0066,0.0036,0.0025
8671.9667,0.0002,0.0001,0.0001
8675.0000,0.0001,0.0001,0.0001
8682.8167,0.0003,0.0002,0.0001
8685.0000,0.0001,0.0000,0.0000
8686.8250,0.0001,0.0000,0.0000
8686.8500,0.0001,0.0000,0.0000
8688.6250,0.0002,0.0001,0.0000
8688.6417,0.0002,0.0001,0.0000
8691.3167,0.0001,0.0000,0.0000
8700.7833,0.0018,0.0008,0.0005
8702.0583,0.0003,0.0001,0.0001
8702.0750,0.0003,0.0001,0.0001
8705.8667,0.0286,0.0054,0.0034
8705.8750,0.0290,0.0054,0.0034
8714.7083,0.0266,0.0096,0.0056
8717.7917,0.0102,0.0030,0.0019
8719.8000,0.0026,0.0004,0.0001
8719.9917,0.0010,0.0008,0.0005
8722.5083,0.0008,0.0004,0.0003
8725.1000,0.0009,0.0004,0.0002
8725.2000,0.0009,0.0003,0.0001
8735.5667,0.0003,0.0000,0.0000
8735.5833,0.0002,0.0000,0.0000
8742.8667,0.0003,0.0000,0.0000
8745.2333,0.0001,0.0001,0.0001
8746.3417,0.0000,0.0000,0.0000
8748.7000,0.0000,0.0000,0.0000
8762.5583,0.0006,0.0001,0.0000
8762.5750,0.0006,0.0001,0.0000
8767.3667,0.0001,0.0000,0.0001
8767.3750,0.0001,0.0000,0.0001
8767.4333,0.0001,0.0000,0.0001
8784.7250,0.0011,0.0001,0.0002
8787.2250,0.0002,0.0000,0.0000
8787.2333,0.0002,0.0000,0.0000
8791.0583,0.0001,0.0000,0.0000
8791.0750,0.0001,0.0000,0.0000
8801.7667,0.0001,0.0000,0.0001
8801.7750,0.0001,0.0000,0.0001
8840.4917,0.0001,0.0001,0.0000
8850.0000,0.0006,0.0002,0.0003
8875.0000,0.0028,0.0021,0.0025
8881.2417,0.0008,0.0003,0.0002
8881.2750,0.0008,0.0003,0.0002
8881.3333,0.0011,0.0003,0.0002
8885.0000,0.0002,0.0001,0.0001
8886.2583,0.0002,0.0000,0.0000
8892.9417,0.0003,0.0001,0.0001
8893.0583,0.0002,0.0001,0.0000
8895.1167,0.0001,0.0000,0.0000
8895.1333,0.0001,0.0000,0.0000
8908.7250,0.0003,0.0001,0.0001
8908.7333,0.0003,0.0001,0.0001
