freq,int_h2o,int_d2o,cluster
7462.75000000,0.00006063,0.00001160,12
7468.07500000,0.00003393,0.00001249,2
7469.94166667,0.00011372,0.00011026,11
7470.00000000,0.00019951,0.00011300,18
7472.88333333,0.00019594,0.00005364,1
7473.75833333,0.00008845,0.00003195,2
7473.81666667,0.00006142,0.00002819,4
7475.00000000,0.00036229,0.00052126,17
7477.01666667,0.00015293,0.00011159,8
7480.00000000,0.00095032,0.00076252,10
7485.51666667,0.00004387,0.00001783,2
7485.56666667,0.00004633,0.00002320,6
7487.05833333,0.00009058,0.00005923,7
7487.08333333,0.00009653,0.00005310,6
7489.21666667,0.00022610,0.00003106,3
7489.29166667,0.00018679,0.00001968,5
7489.60833333,0.28209539,0.06650864,0
7489.80833333,0.00019115,0.00004539,0
7489.90833333,0.00008387,0.00003159,2
7490.00000000,0.00017303,0.00012687,8
7490.08333333,0.00006296,0.00003646,7
7493.19166667,0.00210295,0.00325411,17
7493.91666667,0.00006259,0.00005963,11
7494.26666667,0.00023829,0.00007666,1
7495.60000000,0.00016775,0.00003297,12
7499.72500000,0.00003391,0.00005101,17
7499.85833333,0.00003410,0.00002726,10
7500.00000000,0.00272955,0.00344519,13
7500.36666667,0.00037307,0.00010852,1
7500.37500000,0.00036963,0.00010912,1
7500.51666667,0.00017076,0.00007195,4
7500.75000000,0.00119760,0.00069075,7
7505.00000000,0.00004789,0.00002862,7
7508.82500000,0.00042279,0.00008912,0
7510.00000000,0.00027476,0.00019971,8
7514.67500000,0.01347132,0.00876622,7
7519.65000000,0.00028663,0.00002341,5
7520.00000000,0.00108375,0.00083271,8
7525.00000000,0.00009617,0.00016955,19
7530.00000000,0.00025220,0.00021400,10
7532.59166667,0.00070152,0.00001480,9
7533.00000000,0.00260648,0.00177604,8
7533.73333333,0.00016264,0.00003245,12
7535.32500000,0.00099150,0.00015146,3
7535.33333333,0.00099130,0.00015159,3
7535.49166667,0.00030077,0.00006739,0
7537.05000000,0.00652354,0.00846195,13
7537.94166667,0.00034963,0.00001837,9
7540.00000000,0.00124457,0.00094994,8
7543.57500000,0.00006673,0.00001477,0
7544.74166667,0.00003339,0.00006654,21
7545.02500000,0.00011657,0.00002503,0
7550.00000000,0.00051694,0.00082620,19
7550.97500000,0.00168450,0.00053669,1
7559.01666667,0.00014631,0.00010626,8
7559.04166667,0.00015360,0.00010108,7
7560.00000000,0.00164600,0.00125745,8
7560.35833333,0.00054743,0.00009222,3
7565.00833333,0.00004967,0.00003985,10
7566.35833333,0.00031420,0.00006281,12
7566.37500000,0.00030154,0.00006486,0
7566.89166667,0.00004202,0.00001509,2
7567.54166667,0.00003345,0.00002042,7
7567.86666667,0.00031590,0.00005897,3
7570.00000000,0.00038174,0.00026952,8
7570.97500000,0.00003377,0.00001200,2
7571.83333333,0.00003499,0.00002159,7
7571.92500000,0.00006138,0.00002953,4
7572.01666667,0.00008970,0.00003862,4
7572.04166667,0.00006895,0.00004465,7
7572.29166667,0.32381787,0.19752848,7
7572.49166667,0.00017487,0.00014778,10
7572.55000000,0.00018907,0.00005613,1
7572.65000000,0.00013114,0.00002757,0
