Frequency,Intensity
2.157127860000000055e+03,1.588481629999999935e-05
2.157461639999999989e+03,1.811315000000000123e-05
2.157616619999999784e+03,1.800088489999999975e-05
2.157938479999999799e+03,1.238196740000000053e-05
2.158546449999999822e+03,8.263760659999999571e-06
2.158820630000000165e+03,1.453610779999999996e-05
2.158916000000000167e+03,1.306454279999999943e-05
2.159190180000000055e+03,1.421490929999999948e-05
2.159357070000000022e+03,1.494057560000000016e-05
2.159535879999999906e+03,1.949208270000000131e-05
2.159714699999999993e+03,9.050961290000000223e-06
2.159905429999999797e+03,8.783648499999999391e-06
2.160096169999999802e+03,1.800533080000000014e-05
2.160358430000000226e+03,1.141826660000000040e-05
2.160573010000000068e+03,1.970409280000000093e-05
2.160775659999999789e+03,1.370583129999999975e-05
2.160930629999999837e+03,1.326580130000000017e-05
2.161204810000000180e+03,1.920839860000000146e-05
2.161443229999999858e+03,1.402211780000000016e-05
2.161598210000000108e+03,1.879113369999999854e-05
2.161741259999999784e+03,1.489036740000000010e-05
2.161872389999999996e+03,1.849735409999999923e-05
2.162039279999999962e+03,1.855362559999999939e-05
2.162230010000000220e+03,1.359628229999999949e-05
2.162492279999999937e+03,2.214829140000000118e-05
2.162647249999999985e+03,2.312020719999999832e-05
2.162754539999999906e+03,1.102903590000000083e-05
2.162945270000000164e+03,1.698803789999999965e-05
2.163076399999999921e+03,1.359272439999999989e-05
2.163195610000000215e+03,9.561084209999999928e-06
2.163290980000000218e+03,1.598653550000000062e-05
2.163481710000000021e+03,1.812727820000000146e-05
2.163732050000000072e+03,8.957737590000000000e-06
2.163982390000000123e+03,2.349112279999999913e-05
2.164125439999999799e+03,1.138085710000000040e-05
2.164232730000000174e+03,9.858538730000000237e-06
2.164351940000000013e+03,1.634323410000000095e-05
2.164447310000000016e+03,1.116069719999999972e-05
2.164709569999999985e+03,1.450547889999999956e-05
2.164840700000000197e+03,1.102853309999999974e-05
2.164936070000000200e+03,1.687305889999999900e-05
2.165257930000000215e+03,1.376427499999999960e-05
2.165353300000000218e+03,1.200780830000000051e-05
2.165877820000000156e+03,9.752372329999999369e-06
2.166104319999999916e+03,9.338637950000000488e-06
2.166259289999999964e+03,1.240126929999999935e-05
2.166700359999999819e+03,1.641027289999999892e-05
2.167105669999999918e+03,1.365459850000000059e-05
2.167212959999999839e+03,1.264891199999999962e-05
2.167451379999999972e+03,1.053726050000000018e-05
2.167773250000000189e+03,1.162608959999999992e-05
2.168059349999999995e+03,9.692529670000000217e-06
2.168369290000000092e+03,1.382260159999999947e-05
2.168464660000000094e+03,9.447921039999999875e-06
2.168798449999999775e+03,9.135431799999999970e-06
2.169203759999999875e+03,8.973770730000000715e-06
2.169382570000000214e+03,9.980383139999999596e-06
2.169454099999999926e+03,1.300262859999999938e-05
2.171039580000000115e+03,1.120673960000000028e-05
2.171838279999999941e+03,9.465322390000000785e-06
2.172851560000000063e+03,3.101704190000000131e-05
2.173149589999999989e+03,8.778791850000000420e-06
2.173447610000000168e+03,9.679044940000000808e-06
2.174293990000000122e+03,1.087126579999999918e-05
2.174901960000000145e+03,3.105767299999999859e-05
2.175521850000000086e+03,8.492717000000000701e-06
2.176237110000000030e+03,1.017824680000000059e-05
2.176678179999999884e+03,9.832537300000000508e-06
2.176845069999999851e+03,9.455550360000000078e-06
2.177250390000000152e+03,1.010057270000000082e-05
2.177655699999999797e+03,1.429736699999999941e-05
2.177822590000000218e+03,8.646943910000000423e-06
2.178454400000000078e+03,8.714390429999999325e-06
2.178549770000000080e+03,1.093848630000000024e-05
2.179205419999999776e+03,8.185856409999999901e-06
2.179467680000000200e+03,9.868809100000000678e-06
2.179980280000000221e+03,9.313247649999999885e-06
2.180242540000000190e+03,8.128975669999999635e-06
2.181065079999999853e+03,9.517180599999999204e-06
2.181923389999999927e+03,1.186754419999999970e-05
2.182555199999999786e+03,8.424227699999999852e-06
2.182745930000000044e+03,1.498202350000000084e-05
2.183175090000000182e+03,1.107329250000000067e-05
2.183318139999999858e+03,1.003117199999999985e-05
2.183806900000000041e+03,9.689445939999999287e-06
2.184224130000000059e+03,9.521298549999999828e-06
2.184653279999999995e+03,1.181714649999999960e-05
2.185428139999999985e+03,8.353202419999999800e-06
2.186369900000000143e+03,1.145392649999999971e-05
2.186632160000000113e+03,1.029625629999999945e-05
2.187132840000000215e+03,9.118634810000000098e-06
2.187383170000000064e+03,1.170900060000000052e-05
2.187502379999999903e+03,4.696948679999999937e-04
2.187800409999999829e+03,1.269396390000000069e-05
