freq,cluster
3719.01989,1
5837.19015,3
5466.52079,9
6087.42237,7
3707.64732,0
6589.5915,15
5829.38194,10
6905.43652,15
6349.73049,21
6088.85288,9
6395.35189,24
3124.88079,1
6433.30812,25
6931.1738,1
6560.79054,7
5909.86013,5
6022.09568,11
7422.91212,28
7551.87273,13
6389.36758,20
3668.12944,10
3593.93358,5
3056.63347,4
6311.82194,20
3646.36183,0
7354.70057,32
6756.61564,0
2890.62262,12
2174.90196,12
5363.22594,11
3719.03181,1
4946.04111,2
4676.12743,14
6125.36669,11
5533.70714,0
6339.40697,9
6559.37195,16
5483.42466,8
5744.27843,17
2162.03928,13
7641.42275,31
7008.26645,14
6559.44347,21
4716.74204,4
5871.89198,12
5870.34225,2
6151.04437,18
7208.96721,8
4736.44733,3
4237.23459,8
7900.92945,24
6753.71885,3
4812.64591,4
6938.51709,4
6554.9016,0
3693.31837,6
5556.05888,7
7488.08384,17
3672.12296,9
3675.04358,1
5016.13617,20
5424.01075,6
6708.20475,28
3972.61381,6
7020.50924,1
3701.72262,10
3703.22466,3
3704.67901,2
6210.44636,2
7406.07977,0
4783.85687,5
3496.0866,20
2913.34391,6
6932.60431,37
3561.3656,6
6433.40349,4
6351.28021,11
3585.61277,10
7290.48252,0
3748.69108,0
4654.88434,1
6158.95987,9
4709.27954,1
4451.19143,5
6776.38054,10
3688.87186,20
6665.70663,6
5601.90678,
6542.63496,3
7224.17831,3
5900.47836,0
4692.48295,5
4696.94138,1
7223.74916,3
2124.02344,18
4451.28679,23
7499.99285,5
4382.97987,1
7284.832,22
7491.43362,29
5556.30922,3
6916.16535,0
7342.68427,22
7227.12278,3
2732.86104,1
4372.56098,20
5521.69085,3
4607.84435,18
6601.75085,0
7317.9841,2
3155.45797,13
6395.60223,7
6721.88997,6
4451.6325,1
4925.1318,
4793.11943,1
7260.69212,9
6641.25681,9
6706.57158,21
6316.51878,17
7312.01172,9
6756.97327,0
2913.32006,6
3351.17579,1
6418.38312,
4736.78112,1
4874.74203,20
